ID,Category,Prompt,Author,Quote
49,Touch,What was the last physical contact you had with another person — handshake embrace pat?,Virginia Woolf,"One cannot think well love well sleep well if one has not dined well."
50,Language,Is there a word in another language that perfectly describes something you felt today?,Stefan Zweig,"In the world of ideas everything depends on enthusiasm while in the real world everything relies on perseverance."
51,Influence,Whose voice was in your head today guiding or critiquing your decisions?,Carl Jung,"The most terrifying thing is to accept oneself completely."
52,Impermanence,What is something you used to care about deeply that no longer matters to you?,Heraclitus,"No man ever steps in the same river twice."
53,Rhythm,What routine or ritual anchored your day today?,James Clear,"Every action you take is a vote for the type of person you wish to become."
54,Paradox,What do you know to be true but struggle to practice?,Socrates,"The only true wisdom is in knowing you know nothing."
55,Texture,Describe the quality of light in the room where you spent most of today.,Vincent van Gogh,"I dream my painting and I paint my dream."
56,Dialogue,What was the most honest sentence you spoke or thought today?,Brené Brown,"Clear is kind. Unclear is unkind."
57,Release,What are you ready to let go of after today?,Lao Tzu,"New beginnings are often disguised as painful endings."
58,Gratitude,What mundane detail of today would you miss most if it disappeared tomorrow?,Charles Dickens,"Annual income twenty pounds annual expenditure nineteen and nineteen result happiness."
59,Identity,Which version of yourself showed up today — the one you planned or the one who arrived?,Oscar Wilde,"Be yourself; everyone else is already taken."
60,Wilderness,What part of your inner landscape remains unexplored territory?,Rainer Maria Rilke,"Perhaps all the dragons in our lives are princesses who are only waiting to see us act just once with beauty and courage."
